Date Opened,Time Opened,Date Closed,Time Closed,Symbol,Shares,Entry Price,Entry Amount,Entry Latency (ms),Entry Slippage %,Exit Price,Exit Amount,Exit Latency (ms),Exit Slippage %,Status,Result,UserName,P&L,P&L %
2026-06-01,09:32:37,2026-06-02,09:54:31,PURR,187,10.94,2045.78,,,10.44,1952.28,,,Closed,StoppedOut,ismcant ,-93.50,-4.57%
2026-06-01,10:01:30,,,CRCL,18,106.67,1920.06,2875,+0.63%,,,,,Open,Open,Hydra,,
2026-06-01,10:01:34,,,HOOD,23,87.28,2007.44,2229,+0.90%,,,,,Open,Open,Hydra,,
2026-06-01,10:44:10,,,PG,3,139.87,419.61,2583,-4.95%,,,,,Open,Open,Sean@BearishBull,,
2026-06-01,10:50:44,,,CELH,63,31.57,1988.91,2559,-0.09%,,,,,Open,Open,Theo,,
2026-06-02,10:05:51,,,MSFT,3,445.22,1335.66,2270,+0.05%,,,,,Open,Open,Theo,,
2026-06-02,10:32:18,,,MSTR,11,135.67,1492.37,2205,-0.13%,,,,,Open,Open,SLAM,,
2026-06-02,12:29:43,,,ISRG,3,401.36,1204.08,2293,-0.03%,,,,,Open,Open,slicedbreadth,,

,,SUMMARY
,,Total Trades,8
,,Open,7,Closed,1
,,Wins,0,Losses,1,Win Rate,0.0%
,,Total P&L,-93.50
